Voted,Presidential_Vote,Marital_Status,Household_Income,Education_Level,Age,Sex
Voted,Jo Jorgensen,Married: spouse present,"$50,000 to $74,999","Some post-high school, no bachelor's degree",35 to 44,Female
Voted,Joe Biden,Married: spouse present,"$100,000 to $124,999",High school credential,35 to 44,Female
Voted,Joe Biden,Married: spouse present,"$35,000 to $49,999","Some post-high school, no bachelor's degree",35 to 44,Male
Voted,Donald Trump,Widowed,"$125,000 or more",Graduate degree,65 to 74,Male
Voted,Joe Biden,Divorced,"Less than $20,000","Some post-high school, no bachelor's degree",65 to 74,Female
Voted,Donald Trump,Married: spouse present,"$20,000 to $34,999","Some post-high school, no bachelor's degree",35 to 44,Female
Voted,Joe Biden,Married: spouse present,"$50,000 to $74,999",High school credential,65 to 74,Female
Voted,Joe Biden,Separated,"$50,000 to $74,999","Some post-high school, no bachelor's degree",35 to 44,Male
Voted,Joe Biden,Married: spouse present,"$35,000 to $49,999",High school credential,35 to 44,Female
Voted,Joe Biden,Married: spouse present,"$100,000 to $124,999",High school credential,55 to 64,Male
Voted,Donald Trump,Never married,"Less than $20,000",High school credential,25 to 34,Female
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Graduate degree,35 to 44,Male
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Bachelor's degree,45 to 54,Male
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Bachelor's degree,55 to 64,Male
Voted,Joe Biden,Married: spouse present,"$50,000 to $74,999",Bachelor's degree,55 to 64,Female
Voted,Joe Biden,Widowed,"$20,000 to $34,999",High school credential,75 or older,Female
Voted,Joe Biden,Widowed,"$20,000 to $34,999",Less than high school credential,75 or older,Female
Voted,Joe Biden,Never married,"$125,000 or more",Bachelor's degree,18 to 24,Male
Voted,Joe Biden,Married: spouse present,"$20,000 to $34,999",Bachelor's degree,65 to 74,Male
Voted,Donald Trump,Widowed,"$20,000 to $34,999",Less than high school credential,65 to 74,Female
Voted,Donald Trump,Married: spouse present,"$125,000 or more",Bachelor's degree,45 to 54,Male
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Graduate degree,65 to 74,Male
Voted,Joe Biden,Married: spouse present,"$75,000 to $99,999",High school credential,35 to 44,Male
Voted,Joe Biden,Never married,"$20,000 to $34,999",Graduate degree,45 to 54,Female
Voted,Donald Trump,Married: spouse present,"$125,000 or more",Bachelor's degree,65 to 74,Male
Voted,Joe Biden,Divorced,"$125,000 or more",Graduate degree,55 to 64,Female
Voted,Donald Trump,Married: spouse present,"$50,000 to $74,999",Bachelor's degree,65 to 74,Female
Voted,Joe Biden,Married: spouse present,"$35,000 to $49,999","Some post-high school, no bachelor's degree",65 to 74,Female
Voted,Joe Biden,Never married,"Less than $20,000",Graduate degree,25 to 34,Female
Voted,Joe Biden,Married: spouse present,"$35,000 to $49,999",Graduate degree,65 to 74,Female
Voted,Donald Trump,Married: spouse present,"$125,000 or more",Bachelor's degree,35 to 44,Female
Voted,Joe Biden,Never married,"$20,000 to $34,999","Some post-high school, no bachelor's degree",55 to 64,Female
Voted,Donald Trump,Divorced,"$50,000 to $74,999",Graduate degree,45 to 54,Male
Voted,Donald Trump,Married: spouse present,"$125,000 or more",Bachelor's degree,45 to 54,Female
Voted,Donald Trump,Divorced,"$125,000 or more","Some post-high school, no bachelor's degree",65 to 74,Female
Voted,Donald Trump,Married: spouse present,"Less than $20,000",High school credential,55 to 64,Male
Voted,Joe Biden,Widowed,"$50,000 to $74,999","Some post-high school, no bachelor's degree",75 or older,Male
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Bachelor's degree,35 to 44,Male
Voted,Donald Trump,Never married,"$50,000 to $74,999",Bachelor's degree,35 to 44,Female
Voted,Joe Biden,Married: spouse present,"$75,000 to $99,999",Graduate degree,65 to 74,Male
Voted,Joe Biden,Never married,"$50,000 to $74,999",Graduate degree,45 to 54,Female
Voted,Joe Biden,Divorced,"$35,000 to $49,999",Graduate degree,65 to 74,Female
Voted,Joe Biden,Divorced,"$35,000 to $49,999",High school credential,45 to 54,Male
Voted,Donald Trump,Married: spouse present,"$50,000 to $74,999",High school credential,55 to 64,Male
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Bachelor's degree,45 to 54,Male
Voted,Joe Biden,Married: spouse present,"$50,000 to $74,999",Graduate degree,75 or older,Male
Voted,Joe Biden,Married: spouse present,"$75,000 to $99,999",Graduate degree,35 to 44,Female
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Bachelor's degree,35 to 44,Male
Voted,Joe Biden,Married: spouse present,"$50,000 to $74,999","Some post-high school, no bachelor's degree",55 to 64,Male
Voted,Joe Biden,Divorced,"$75,000 to $99,999","Some post-high school, no bachelor's degree",45 to 54,Male
Voted,Donald Trump,Married: spouse present,"$100,000 to $124,999",Graduate degree,75 or older,Female
Voted,Joe Biden,Married: spouse present,"$75,000 to $99,999",Graduate degree,35 to 44,Female
Voted,Joe Biden,Never married,"$50,000 to $74,999",Graduate degree,25 to 34,Female
Voted,Joe Biden,Divorced,"Less than $20,000",Graduate degree,65 to 74,Female
Voted,Joe Biden,Widowed,"$50,000 to $74,999","Some post-high school, no bachelor's degree",55 to 64,Female
Voted,Joe Biden,Divorced,"$20,000 to $34,999","Some post-high school, no bachelor's degree",65 to 74,Female
Voted,Joe Biden,Divorced,"$50,000 to $74,999",High school credential,55 to 64,Female
Voted,Joe Biden,Married: spouse present,"$75,000 to $99,999",Graduate degree,75 or older,Male
Voted,Donald Trump,Married: spouse present,"$20,000 to $34,999","Some post-high school, no bachelor's degree",65 to 74,Male
Voted,Joe Biden,Widowed,"$20,000 to $34,999",High school credential,65 to 74,Female
Voted,Donald Trump,Married: spouse present,"$100,000 to $124,999",Bachelor's degree,65 to 74,Male
Voted,Donald Trump,Married: spouse present,"$50,000 to $74,999","Some post-high school, no bachelor's degree",75 or older,Female
Voted,Joe Biden,Divorced,"$50,000 to $74,999",Bachelor's degree,35 to 44,Female
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Bachelor's degree,35 to 44,Female
Voted,Joe Biden,Never married,"$20,000 to $34,999","Some post-high school, no bachelor's degree",45 to 54,Female
Voted,Joe Biden,Married: spouse present,"$75,000 to $99,999",Bachelor's degree,25 to 34,Female
Voted,Donald Trump,Married: spouse present,"$125,000 or more",Bachelor's degree,25 to 34,Female
Voted,Donald Trump,Never married,"$125,000 or more",Bachelor's degree,18 to 24,Female
Voted,Donald Trump,Divorced,"Less than $20,000","Some post-high school, no bachelor's degree",25 to 34,Female
Voted,Joe Biden,Widowed,"$35,000 to $49,999",High school credential,75 or older,Male
Voted,Donald Trump,Married: spouse present,"$50,000 to $74,999",Bachelor's degree,55 to 64,Male
Voted,Donald Trump,Widowed,"$125,000 or more",Graduate degree,75 or older,Female
Voted,Joe Biden,Married: spouse present,"$100,000 to $124,999","Some post-high school, no bachelor's degree",55 to 64,Male
Voted,Joe Biden,Never married,"$50,000 to $74,999",Bachelor's degree,45 to 54,Female
Voted,Joe Biden,Widowed,"$20,000 to $34,999",Bachelor's degree,75 or older,Female
Voted,Joe Biden,Widowed,"$35,000 to $49,999","Some post-high school, no bachelor's degree",75 or older,Female
Voted,Joe Biden,Divorced,"$100,000 to $124,999",Graduate degree,45 to 54,Female
Voted,Donald Trump,Married: spouse present,"$35,000 to $49,999","Some post-high school, no bachelor's degree",35 to 44,Female
Voted,Donald Trump,Married: spouse present,"$100,000 to $124,999",Bachelor's degree,35 to 44,Male
Voted,Joe Biden,Widowed,"Less than $20,000",Less than high school credential,75 or older,Female
Voted,Donald Trump,Never married,"$20,000 to $34,999",High school credential,65 to 74,Female
Voted,Donald Trump,Married: spouse present,"$50,000 to $74,999",High school credential,75 or older,Female
Voted,Donald Trump,Married: spouse present,"$125,000 or more","Some post-high school, no bachelor's degree",65 to 74,Male
Voted,Joe Biden,Married: spouse present,"$100,000 to $124,999","Some post-high school, no bachelor's degree",55 to 64,Female
Voted,Donald Trump,Married: spouse present,"$125,000 or more",Graduate degree,75 or older,Male
Voted,Donald Trump,Divorced,"$20,000 to $34,999","Some post-high school, no bachelor's degree",65 to 74,Male
Voted,Donald Trump,Never married,"$35,000 to $49,999",Bachelor's degree,55 to 64,Male
Voted,Donald Trump,Married: spouse present,"$100,000 to $124,999",Graduate degree,35 to 44,Female
Voted,Joe Biden,Married: spouse present,"$75,000 to $99,999","Some post-high school, no bachelor's degree",55 to 64,Female
Voted,Donald Trump,Married: spouse present,"Less than $20,000",Graduate degree,55 to 64,Male
Voted,Joe Biden,Never married,"$100,000 to $124,999","Some post-high school, no bachelor's degree",25 to 34,Male
Voted,Donald Trump,Widowed,"$100,000 to $124,999",Graduate degree,75 or older,Male
Voted,Joe Biden,Married: spouse present,"$20,000 to $34,999","Some post-high school, no bachelor's degree",65 to 74,Male
Voted,Joe Biden,Never married,"$35,000 to $49,999",Bachelor's degree,18 to 24,Female
Voted,Donald Trump,Married: spouse present,"$125,000 or more",High school credential,45 to 54,Male
Voted,Joe Biden,Widowed,"$75,000 to $99,999",Graduate degree,65 to 74,Female
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Graduate degree,65 to 74,Male
Voted,Donald Trump,Married: spouse present,"$125,000 or more","Some post-high school, no bachelor's degree",55 to 64,Male
Voted,Donald Trump,Married: spouse present,"$100,000 to $124,999",Bachelor's degree,45 to 54,Female
Voted,Donald Trump,Married: spouse present,"$125,000 or more",Bachelor's degree,55 to 64,Male
Voted,Joe Biden,Married: spouse present,"$100,000 to $124,999",Graduate degree,35 to 44,Female
Voted,Joe Biden,Married: spouse present,"$20,000 to $34,999",High school credential,45 to 54,Female
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Bachelor's degree,45 to 54,Male
Voted,Donald Trump,Married: spouse present,"Less than $20,000",Graduate degree,75 or older,Female
Voted,Joe Biden,Divorced,"Less than $20,000","Some post-high school, no bachelor's degree",65 to 74,Male
Voted,Other candidate {SPECIFY},Divorced,"$125,000 or more",Bachelor's degree,35 to 44,Female
Voted,Donald Trump,Married: spouse present,"$20,000 to $34,999",High school credential,65 to 74,Male
Voted,Joe Biden,Married: spouse present,"$75,000 to $99,999","Some post-high school, no bachelor's degree",55 to 64,Male
Voted,Donald Trump,Married: spouse present,"$75,000 to $99,999","Some post-high school, no bachelor's degree",55 to 64,Female
Voted,Joe Biden,Never married,"$50,000 to $74,999",Graduate degree,25 to 34,Female
Voted,Joe Biden,Never married,"$35,000 to $49,999","Some post-high school, no bachelor's degree",25 to 34,Female
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Graduate degree,35 to 44,Male
Voted,Joe Biden,Married: spouse present,"$125,000 or more","Some post-high school, no bachelor's degree",45 to 54,Male
Voted,Joe Biden,Married: spouse present,"$100,000 to $124,999",Graduate degree,35 to 44,Male
Voted,Donald Trump,Married: spouse present,"$125,000 or more","Some post-high school, no bachelor's degree",75 or older,Female
Voted,Donald Trump,Widowed,"$20,000 to $34,999",Less than high school credential,75 or older,Female
Voted,Donald Trump,Married: spouse present,"$35,000 to $49,999","Some post-high school, no bachelor's degree",65 to 74,Female
Voted,Donald Trump,Married: spouse present,"$100,000 to $124,999","Some post-high school, no bachelor's degree",65 to 74,Male
Voted,Joe Biden,Divorced,"$75,000 to $99,999",Graduate degree,65 to 74,Female
Voted,Donald Trump,Divorced,"Less than $20,000",High school credential,65 to 74,Female
Voted,Donald Trump,Married: spouse present,"$100,000 to $124,999",High school credential,55 to 64,Male
Voted,Donald Trump,Married: spouse present,"$125,000 or more",Graduate degree,45 to 54,Male
Voted,Joe Biden,Never married,"$35,000 to $49,999",Bachelor's degree,25 to 34,Male
Voted,Donald Trump,Married: spouse present,"$50,000 to $74,999",High school credential,75 or older,Male
Voted,Jo Jorgensen,Never married,"$100,000 to $124,999","Some post-high school, no bachelor's degree",25 to 34,Male
Voted,Joe Biden,Married: spouse present,"Less than $20,000","Some post-high school, no bachelor's degree",65 to 74,Male
Voted,Donald Trump,Married: spouse present,"$100,000 to $124,999",Graduate degree,65 to 74,Male
Voted,Joe Biden,Married: spouse present,"$125,000 or more",Graduate degree,75 or older,Male
Voted,Joe Biden,Never married,"$125,000 or more",Graduate degree,25 to 34,Male
Voted,Joe Biden,Divorced,"$75,000 to $99,999",Graduate degree,65 to 74,Female
Voted,Joe Biden,Married: spouse present,"$75,000 to $99,999",Bachelor's degree,55 to 64,Male
Voted,Donald Trump,Divorced,"Less than $20,000",High school credential,55 to 64,Male
Voted,Donald Trump,Married: spouse present,"$35,000 to $49,999",High school credential,45 to 54,Male
Voted,Donald Trump,Never married,"$75,000 to $99,999",Graduate degree,65 to 74,Female
Voted,Donald Trump,Widowed,"$20,000 to $34,999","Some post-high school, no bachelor's degree",75 or older,Female
Voted,Joe Biden,Never married,"$75,000 to $99,999",Bachelor's degree,45 to 54,Female
